"Region","Year","Electricity","Investment","Consumption","Population","gdpPercap"
"青海",2013,676.3,2361.09,12070,571,30005.2539404553
"山东",2013,4083.1,36789.07,16728,9746,48578.1859224297
"山西",2013,1832.3,11031.89,12078,3535,33910.0424328147
"陕西",2013,1152.2,14884.15,13206,3804,41812.3028391167
"上海",2013,1410.6,5647.79,39223,2448,94787.9901960784
"四川",2013,1949,20326.11,12485,8109,32701.9361203601
"天津",2013,774.5,9130.25,26261,1410,70534.7517730496
"西藏",2013,30.7,876,6275,317,26126.1829652997
"新疆",2013,1539.8,7732.3,11401,2285,36729.1028446389
"云南",2013,1459.8,9968.3,11224,4641,27635.2079293256
"浙江",2013,3453.1,20782.11,24771,5784,64548.0636237898
"重庆",2013,813.3,10435.24,15423,3011,43266.6888077051
"安徽",2014,1585.18,21875.58,12944,5997,37551.6091379023
"北京",2014,937.05,6924.23,36057,2171,105601.105481345
"福建",2014,1855.79,18177.86,19099,3945,63224.588086185
"甘肃",2014,1095.48,7884.13,10678,2531,25754.2473330699
"广东",2014,5235.23,26293.93,24582,11489,59337.6272956741
"广西",2014,1307.99,13843.22,12944,4770,28485.9538784067
"贵州",2014,1173.74,9025.75,11362,3677,24947.239597498
"海南",2014,251.88,3112.23,12915,936,36848.2905982906
"河北",2014,3314.11,26671.92,12171,7323,34424.2796668032
"河南",2014,2919.57,30782.17,13078,9645,35847.3820632452
"黑龙江",2014,859.42,9828.99,15215,3608,33732.8159645233
"湖北",2014,1656.54,22915.3,15762,5816,48559.3191196699
"湖南",2014,1430.88,21242.92,14384,6611,39148.8428376947
"吉林",2014,667.81,11339.62,13663,2642,37723.315669947
"江苏",2014,5012.54,41938.62,28316,8281,78288.2502113271
"江西",2014,1018.52,15079.26,12000,4480,34972.7678571429
"辽宁",2014,2038.73,24730.8,22260,4358,45951.5832950895
"内蒙古",2014,2416.74,17591.83,19827,2449,49645.5696202532
"宁夏",2014,848.75,3173.79,15193,678,36488.2005899705
"青海",2014,723.21,2861.23,13534,576,32078.125
"山东",2014,4223.49,42495.55,19184,9808,51768.7601957586
"山西",2014,1822.63,12354.53,12622,3528,34282.029478458
"陕西",2014,1226.01,17191.92,14812,3827,45472.9553174811
"上海",2014,1369.03,6016.43,43007,2467,102431.293068504
"四川",2014,2014.79,23318.57,13755,8139,35497.3583978376
"天津",2014,794.36,10518.19,28492,1429,74461.8614415675
"西藏",2014,33.98,1069.23,7205,325,28913.8461538462
"新疆",2014,1900.24,9447.74,12435,2325,39847.311827957
"云南",2014,1529.38,11498.53,12235,4653,30177.7347947561
"浙江",2014,3506.39,24262.77,26885,5890,67951.6129032258
"重庆",2014,867.24,12285.42,17262,3043,48057.1804140651
"安徽",2015,1639.79,24385.97,13941,6011,39645.982365663
"北京",2015,952.72,7495.99,39200,2188,113250
"福建",2015,1851.86,21301.38,20828,3984,67318.0220883534
"甘肃",2015,1098.72,8754.23,11868,2523,25987.3166864843
"广东",2015,5310.69,30343.03,26365,11678,63994.1770851173
"广西",2015,1334.32,16227.78,13857,4811,30758.2623155269
"贵州",2015,1174.21,10945.54,12876,3708,28427.7238403452
"海南",2015,272.36,3451.22,17019,945,39515.3439153439
"河北",2015,3175.66,29448.27,12829,7345,35940.6398910824
"河南",2015,2879.62,35660.35,14507,9701,38227.0899907226
"黑龙江",2015,868.97,10182.94,16443,3529,33125.5313119864
"湖北",2015,1665.16,26563.9,17429,5850,51870.0854700855
"湖南",2015,1447.63,25045.08,16289,6615,43142.2524565382
"吉林",2015,651.96,12705.29,14630,2613,38339.0738614619
"江苏",2015,5114.7,46246.87,31682,8315,85695.6103427541
"江西",2015,1087.26,17388.13,14489,4485,37415.607580825
"辽宁",2015,1984.89,17917.89,23693,4338,46588.9810972799
"内蒙古",2015,2542.87,13702.22,20835,2440,53069.6721311475
